"No.","Time","Source","Destination","Protocol","Length","bInterfaceClass","Info"
"1","0.000000","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.8? Tell 192.168.10.4"
"2","0.000456","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.8 is at 00:11:22:33:44:11"
"3","0.000761","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.2? Tell 192.168.10.3"
"4","0.001210","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.2 is at 00:11:22:33:44:aa"
"5","0.001470","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.2? Tell 192.168.10.4"
"6","0.001762","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.2 is at 00:11:22:33:44:aa"
"7","0.002060","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.6? Tell 192.168.10.4"
"8","0.002359","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.6 is at 00:11:22:33:44:ee"
"9","0.002608","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.10? Tell 192.168.10.4"
"10","0.002999","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.10 is at 00:11:22:33:44:33"
"11","0.003272","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.10? Tell 192.168.10.6"
"12","0.003561","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.10 is at 00:11:22:33:44:33"
"13","0.003814","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.4? Tell 192.168.10.2"
"14","0.004148","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.4 is at 00:11:22:33:44:cc"
"15","0.004410","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.5? Tell 192.168.10.3"
"16","0.004739","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.5 is at 00:11:22:33:44:dd"
"17","0.005100","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.5? Tell 192.168.10.9"
"18","0.005386","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.5 is at 00:11:22:33:44:dd"
"19","0.005652","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.4? Tell 192.168.10.3"
"20","0.005968","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.4 is at 00:11:22:33:44:cc"
"21","0.006279","192.168.10.2","192.168.10.9","SMTP","422","","C: DATA fragment, 368 bytes"
"22","0.013452","192.168.10.5","192.168.10.7","SMTP","422","","C: DATA fragment, 368 bytes"
"23","0.030786","192.168.10.8","192.168.10.6","TCP","54","","42087  >  11361 [SYN] Seq=0 Win=900 Len=0"
"24","0.031427","192.168.10.8","192.168.10.6","TCP","79","","53090  >  30199 [<None>] Seq=1 Win=499 Len=25"
"25","0.031934","192.168.10.6","192.168.10.8","TCP","54","","45281  >  39961 [<None>] Seq=1 Win=123 Len=0"
"26","0.032635","192.168.10.8","192.168.10.6","TCP","79","","11802  >  5575 [<None>] Seq=1 Win=769 Len=25"
"27","0.033309","192.168.10.6","192.168.10.8","TCP","54","","3041  >  46170 [<None>] Seq=1 Win=755 Len=0"
"28","0.033950","192.168.10.8","192.168.10.6","TCP","79","","41045  >  61156 [<None>] Seq=1 Win=753 Len=25"
"29","0.034473","192.168.10.6","192.168.10.8","TCP","54","","36639  >  48041 [<None>] Seq=1 Win=740 Len=0"
"30","0.035200","192.168.10.8","192.168.10.6","TCP","54","","18587  >  38263 [FIN] Seq=1 Win=340 Len=0"
"31","0.035740","192.168.10.8","192.168.10.6","TCP","54","","44937  >  36233 [<None>] Seq=1 Win=696 Len=0"
"32","0.036270","192.168.10.9","192.168.10.6","TCP","54","","18389  >  50827 [SYN] Seq=0 Win=904 Len=0"
"33","0.036794","192.168.10.9","192.168.10.6","TCP","151","","25108  >  63838 [<None>] Seq=1 Win=934 Len=97"
"34","0.037337","192.168.10.6","192.168.10.9","TCP","54","","13656  >  24842 [<None>] Seq=1 Win=289 Len=0"
"35","0.038108","192.168.10.9","192.168.10.6","TCP","151","","51270  >  57744 [<None>] Seq=1 Win=836 Len=97"
"36","0.038656","192.168.10.6","192.168.10.9","TCP","54","","13063  >  21665 [<None>] Seq=1 Win=744 Len=0"
"37","0.039310","192.168.10.9","192.168.10.6","TCP","151","","61112  >  64089 [<None>] Seq=1 Win=199 Len=97"
"38","0.039888","192.168.10.6","192.168.10.9","TCP","54","","38361  >  2513 [<None>] Seq=1 Win=421 Len=0"
"39","0.040489","192.168.10.9","192.168.10.6","TCP","151","","29477  >  21763 [<None>] Seq=1 Win=996 Len=97"
"40","0.041032","192.168.10.6","192.168.10.9","TCP","54","","48873  >  47274 [<None>] Seq=1 Win=633 Len=0"
"41","0.042088","192.168.10.9","192.168.10.6","TCP","54","","35395  >  9167 [FIN] Seq=1 Win=562 Len=0"
"42","0.042886","192.168.10.9","192.168.10.6","TCP","54","","26594  >  60794 [<None>] Seq=1 Win=475 Len=0"
"43","0.043724","192.168.10.9","192.168.10.8","TCP","54","","57704  >  20439 [SYN] Seq=0 Win=877 Len=0"
"44","0.044298","192.168.10.9","192.168.10.8","TCP","123","","56419  >  36708 [<None>] Seq=1 Win=232 Len=69"
"45","0.044876","192.168.10.8","192.168.10.9","TCP","54","","28938  >  20979 [<None>] Seq=1 Win=961 Len=0"
"46","0.045626","192.168.10.9","192.168.10.8","TCP","123","","1551  >  48044 [<None>] Seq=1 Win=565 Len=69"
"47","0.046157","192.168.10.8","192.168.10.9","TCP","54","","7007  >  58425 [<None>] Seq=1 Win=434 Len=0"
"48","0.046737","192.168.10.9","192.168.10.8","TCP","123","","23429  >  32732 [<None>] Seq=1 Win=869 Len=69"
"49","0.047235","192.168.10.8","192.168.10.9","TCP","54","","60982  >  48216 [<None>] Seq=1 Win=842 Len=0"
"50","0.047804","192.168.10.9","192.168.10.8","TCP","123","","43161  >  31884 [<None>] Seq=1 Win=507 Len=69"
"51","0.048322","192.168.10.8","192.168.10.9","TCP","54","","16021  >  1391 [<None>] Seq=1 Win=571 Len=0"
"52","0.048950","192.168.10.9","192.168.10.8","TCP","123","","32128  >  61701 [<None>] Seq=1 Win=661 Len=69"
"53","0.049502","192.168.10.8","192.168.10.9","TCP","54","","38757  >  39058 [<None>] Seq=1 Win=372 Len=0"
"54","0.050307","192.168.10.9","192.168.10.8","TCP","54","","36637  >  23201 [FIN] Seq=1 Win=814 Len=0"
"55","0.050917","192.168.10.9","192.168.10.8","TCP","54","","18063  >  1963 [<None>] Seq=1 Win=701 Len=0"
"56","0.051444","192.168.10.7","192.168.10.7","TCP","54","","53191  >  48836 [SYN] Seq=0 Win=631 Len=0"
"57","0.052036","192.168.10.7","192.168.10.7","TCP","98","","3041  >  8575 [<None>] Seq=1 Win=842 Len=44"
"58","0.052580","192.168.10.7","192.168.10.7","TCP","54","","11266  >  61130 [<None>] Seq=1 Win=457 Len=0"
"59","0.053451","192.168.10.7","192.168.10.7","TCP","98","","63002  >  34595 [<None>] Seq=1 Win=903 Len=44"
"60","0.053964","192.168.10.7","192.168.10.7","TCP","54","","27861  >  60381 [<None>] Seq=1 Win=603 Len=0"
"61","0.054534","192.168.10.7","192.168.10.7","TCP","98","","7781  >  45177 [<None>] Seq=1 Win=809 Len=44"
"62","0.055032","192.168.10.7","192.168.10.7","TCP","54","","59698  >  19109 [<None>] Seq=1 Win=480 Len=0"
"63","0.055671","192.168.10.7","192.168.10.7","TCP","98","","9710  >  51195 [<None>] Seq=1 Win=242 Len=44"
"64","0.056170","192.168.10.7","192.168.10.7","TCP","54","","43912  >  45527 [<None>] Seq=1 Win=376 Len=0"
