"No.","Time","Source","Destination","Protocol","Length","bInterfaceClass","Info"
"1","0.000000","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.7? Tell 192.168.10.6"
"2","0.000489","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.7 is at 00:11:22:33:44:ff"
"3","0.000806","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.4? Tell 192.168.10.10"
"4","0.001126","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.4 is at 00:11:22:33:44:cc"
"5","0.001426","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.5? Tell 192.168.10.10"
"6","0.001735","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.5 is at 00:11:22:33:44:dd"
"7","0.002023","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.6? Tell 192.168.10.2"
"8","0.002329","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.6 is at 00:11:22:33:44:ee"
"9","0.002711","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.6? Tell 192.168.10.8"
"10","0.003072","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.6 is at 00:11:22:33:44:ee"
"11","0.003363","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.10? Tell 192.168.10.7"
"12","0.003711","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.10 is at 00:11:22:33:44:33"
"13","0.003962","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.9? Tell 192.168.10.2"
"14","0.004289","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.9 is at 00:11:22:33:44:22"
"15","0.004561","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.2? Tell 192.168.10.9"
"16","0.004861","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.2 is at 00:11:22:33:44:aa"
"17","0.005142","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.4? Tell 192.168.10.5"
"18","0.005454","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.4 is at 00:11:22:33:44:cc"
"19","0.005727","VMware_55:61:f7","Broadcast","ARP","42","","Who has 192.168.10.3? Tell 192.168.10.8"
"20","0.006051","VMware_55:61:f7","VMware_55:61:f7","ARP","42","","192.168.10.3 is at 00:11:22:33:44:bb"
"21","0.006370","192.168.10.2","192.168.10.9","SMTP","422","","C: DATA fragment, 368 bytes"
"22","0.014209","192.168.10.4","192.168.10.10","SMTP","422","","C: DATA fragment, 368 bytes"
"23","0.021288","192.168.10.9","192.168.10.8","SMTP","422","","C: DATA fragment, 368 bytes"
"24","0.028822","192.168.10.4","192.168.10.4","SMTP","422","","C: DATA fragment, 368 bytes"
"25","0.036493","192.168.10.8","192.168.10.2","SMTP","422","","C: DATA fragment, 368 bytes"
"26","0.043080","192.168.10.7","192.168.10.2","SMTP","422","","C: DATA fragment, 368 bytes"
"27","0.049655","192.168.10.10","192.168.10.4","SMTP","422","","C: DATA fragment, 368 bytes"
